isolateAccession,SangerSequenceSBT,includedInAnalysisForMS,elGatoSTCalls,cdcID,samplesSet,Year,Region,State,Source,Type,panGenomeRegion,whyExcludeRegion,panGenomeYear,whyExcludeYear,NCBI_BioProject,NCBI_SRR,dataUseConfirmed,spadesAssemblyLength,spadesN50,spadesNumberOfContigs>1kbp,preQC-AvgReadLength,preQC-NumberOfReads,preQC-Coverage,preQC-OverallSequenceQuality,postQC-AvgReadLength,postQC-NumberOfReads,postQC-Coverage,postQC-OverallSequenceQuality,numOfSpacers(IA-IC-IF-IIB),CAS-TypeIA,CAS-TypeIC,CAS-TypeIF,CAS-TypeIIB,Legionella pneumophila str. Lens plasmid pLPL,Legionella pneumophila C9_S plasmid unamed2,Legionella pneumophila FFI102 ,Legionella pneumophila plasmid pLELO,Legionella sainthelensi LA01-117 plasmid pLA01-117_150k
C260,Y,included,213,CL13-200520,state,2013,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447469,N/A,3605925,162928,54,239.0477988,717737,50.327443,Good,220.8439594,634790,41.12163585,Good,44,0,1,0,0,1,0,0,0,0
C261,Y,included,213,CL13-200712,state,2013,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447468,N/A,3512558,130605,55,229.281645,1279458,86.04984742,Good,214.5434849,1144282,72.01171907,Good,33-30,0,1,0,1,1,0,0,0,0
C262,Y,included,213,CL13-200717,state,2013,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447467,N/A,3565445,103280,71,238.8773881,602054,42.18570092,Good,219.9318082,516748,33.33662507,Good,44,0,1,0,0,1,0,0,0,0
C263,Y,included,213,CL14-200679,state,2014,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447466,N/A,3540596,149323,55,235.9109227,817436,56.5661461,Good,217.7699584,725221,46.32582059,Good,47,0,1,0,0,0,0,0,0,0
C264,Y,included,213,CL16-201166,state,2016,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447465,N/A,3541797,106303,70,220.1348176,503317,32.50013156,Good,210.3044844,395636,24.40614107,Good,43,0,1,0,0,0,0,0,0,0
C265,Y,included,213,CL17-201121,state,2017,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447659,N/A,3531446,111841,62,237.1405908,521926,36.30526499,Good,219.5848414,430857,27.75174465,Good,44,0,1,0,0,0,0,0,0,0
C266,Y,included,213,CL18-201317,state,2018,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447658,N/A,3621546,139671,50,242.5098948,738415,52.52726096,Good,222.8679553,694371,45.39353292,Good,43-27,0,1,0,1,1,0,0,0,0
C267,Y,included,213,CL19-202185,state,2019,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447657,N/A,3548832,149323,56,238.3898921,596206,41.69067827,Good,220.4242961,541247,34.99530205,Good,43,0,1,0,0,0,0,0,0,0
C268,Y,included,213,CL19-203101,state,2019,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447656,N/A,3497332,161618,49,182.7877955,1762979,94.52552885,Good,181.9420984,1293644,69.04031424,Good,43,0,1,0,0,0,0,0,0,0
C269,Y,included,213,CL19-203613,state,2019,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447655,N/A,3506237,169518,51,225.8164018,654745,43.36930425,Good,213.9281334,546499,34.29351922,Good,43,0,1,0,0,0,0,0,0,0
C270,Y,included,213,IDR1600036242-01-01,state,2016,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447654,Y,3626873,164880,48,247.8263746,419518,30.49670401,Good,223.8497074,345067,22.65764358,Good,43,0,1,0,0,0,0,0,0,0
C271,Y,included,213,IDR1700039074-01-01,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447653,Y,3522608,157258,51,242.9471698,777832,55.43096403,Good,220.2362994,581800,37.5852462,Good,43,0,1,0,0,0,0,0,0,0
C272,Y,included,213,IDR1700051471-01-00,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447652,Y,3394928,74964,86,235.7398763,921769,63.73968766,Good,216.2124229,736460,46.70728127,Good,43,0,1,0,0,0,0,0,0,0
C273,Y,included,213,IDR1800052419-01-01,state,2018,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447651,Y,3508099,173274,53,234.6744967,747421,51.4500703,Good,216.7502813,625772,39.78602746,Good,43,0,1,0,0,0,0,0,0,0
C275,Y,included,213,ISO-35,state,2007,NE,MA,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20815155,Y,3493098,133609,55,188.6997186,1065970,59.00258188,Bad,163.8199928,856088,41.13770822,Good,43,0,1,0,0,0,0,0,0,0
C276,Y,included,213,ISO-67,state,2011,NE,MA,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20815154,Y,3492835,135409,53,218.5579174,1102269,70.66574121,Good,200.0822477,970653,56.96752351,Good,43,0,1,0,0,0,0,0,0,0
C277,Y,included,213,LP000051,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447650,N/A,3534118,135409,68,237.7964568,550016,38.36502488,Good,217.6731903,332741,21.24545524,Good,46,0,1,0,0,0,0,0,0,0
C278,Y,included,213,LP000085,state,2013,NE,NY,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447648,Y,3495576,149323,53,237.1736252,741943,51.61687585,Good,219.6965955,654229,42.16070842,Good,43,0,1,0,0,0,0,0,0,0
C279,Y,included,213,LP000086,state,2016,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447647,Y,3627150,151613,53,222.1513025,627141,40.86663129,Good,211.7076301,509218,31.62241537,Good,43,0,1,0,0,1,0,0,0,0
C280,Y,included,213,M2008001390,state,2008,NC,MN,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447646,Y,3494863,149345,53,234.9719483,818917,56.44307763,Good,213.8905068,735333,46.13498114,Good,43,0,1,0,0,0,0,0,0,0
C281,Y,included,213,M2018000246,state,2018,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447645,Y,3576572,135407,55,239.4394371,642151,45.10115123,Good,219.2302037,580425,37.3251257,Good,44,0,1,0,0,0,0,0,0,0
C282,Y,included,213,M2018008264,state,2018,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447644,Y,3532724,180134,48,237.6446346,851304,59.34272279,Good,217.0203894,785603,50.01018408,Good,43-19,0,1,0,1,0,0,0,0,0
C283,Y,included,213,M2018009010,state,2018,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447643,Y,3592471,61208,109,238.3249409,810889,56.68728856,Good,216.8587627,735181,46.76554841,Good,35-9,1,1,0,0,0,0,0,0,0
C284,Y,included,213,M2018010037,state,2018,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447642,Y,3568119,103356,74,230.7600117,573257,38.80294608,Good,212.1239662,499378,31.07233753,Good,43-56,0,1,1,0,1,0,0,0,0
C285,Y,included,213,M2019015695,state,2019,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447641,Y,3523184,68315,105,234.8630083,409886,28.23790583,Good,214.1334349,342624,21.52073234,Good,50,0,1,0,0,0,0,0,0,0
C286,Y,included,213,M2019018415,state,2019,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447640,Y,3680264,71535,96,229.581064,764057,51.45369936,Good,210.5120593,686854,42.4127266,Good,43,0,1,0,0,0,0,0,0,0
C287,Y,included,213,M2019019943,state,2019,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447639,Y,3637894,135407,59,233.6234859,738376,50.59980617,Good,212.5088436,655502,40.86070077,Good,44-61,0,1,1,0,1,0,0,0,0
C288,Y,included,213,M2019020789,state,2019,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447637,Y,3542607,75190,112,225.4796976,709053,46.89655318,Good,207.3552125,616752,37.51287112,Good,19-20,0,2,0,0,0,0,0,0,0
C290,Y,included,222,1808210046,state,2018,SW,CO,Clinical,Sporadic,Exclude,region bin less than 14,Exclude,excluded from Region,PRJNA861313,SRR20447636,Y,3487159,138587,57,225.2058408,408845,27.00804337,Good,208.7415072,374405,22.92478315,Good,48-36,0,1,0,1,0,0,0,0,0
C291,Y,included,222,2013191293,state,2013,C,OH,Clinical,Outbreak,Exclude,outbreak Isolate C165 Used,Exclude,outbreak Isolate C165 Used,PRJNA861313,SRR20447635,Y,3452795,87405,67,176.4618031,1564301,80.97031277,Good,185.2716836,1110424,60.34658094,Good,14,0,1,0,0,0,0,0,0,0
C292,Y,included,222,18Ref0100,state,2018,C,IN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447634,Y,3503714,161490,49,241.9194675,635396,45.08894523,Good,222.3177113,591855,38.59616596,Good,43-9,0,1,1,0,1,0,0,0,0
C293,Y,included,222,C2013020086,state,2013,NC,MN,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447633,Y,3461913,183195,45,237.9284919,685377,47.8333458,Good,215.8338668,618311,39.14545503,Good,43,0,1,0,0,0,0,0,0,0
C294,Y,included,222,C2019011807,state,2019,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447632,Y,3553217,153076,49,236.6666368,771321,53.54599294,Good,216.4981858,678255,43.0726951,Good,44,0,1,0,0,0,0,0,0,0
C295,Y,included,222,C2019021644,state,2019,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447631,Y,3587725,161490,50,236.9989599,563409,39.16742331,Good,215.6771929,504075,31.88997381,Good,44-33,0,1,0,1,1,0,0,0,0
C296,Y,included,222,CL10-200201,state,2010,NC,MI,Clinical,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447598,N/A,3448475,159262,47,243.7802214,1141849,81.65107829,Good,224.1094344,980313,64.44358362,Good,44,0,1,0,0,0,0,0,0,0
C297,Y,included,222,CL13-200502,state,2013,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447597,N/A,3575118,160413,50,241.0415963,878347,62.10304555,Good,220.0941152,723337,46.69860343,Good,46-51,0,1,1,0,1,0,0,0,0
C298,Y,included,222,CL13-200503,state,2013,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447596,N/A,3577791,132232,57,239.4656573,689258,48.41498875,Good,220.946826,608719,39.45112628,Good,46-51,0,1,1,0,1,0,0,0,0
C299,Y,included,222,CL13-200505,state,2013,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447594,N/A,3572636,173274,49,240.5737721,942186,66.48745447,Good,220.5749911,778019,50.33861413,Good,43,0,1,0,0,0,0,0,0,0
C300,Y,included,222,CL13-200519,state,2013,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447593,N/A,3577849,162800,53,242.3766507,857038,60.93202896,Good,222.4123062,706863,46.11570415,Good,46,0,1,0,0,0,0,0,0,0
C301,Y,included,222,CL13-200521,state,2013,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447592,N/A,3532293,162800,49,240.4936242,918083,64.76498874,Good,221.4759743,835314,54.26641886,Good,43,0,1,0,0,0,0,0,0,0
C302,Y,included,222,CL13-200540,state,2013,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447591,N/A,3529169,170811,52,239.7039117,856822,60.24493106,Good,221.235212,750323,48.69196393,Good,43,0,1,0,0,0,0,0,0,0
C303,Y,included,222,CL13-200605,state,2013,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447590,N/A,3379689,149323,50,239.2609798,1177068,82.60916101,Good,220.0370314,1088050,70.22623926,Good,44,0,1,0,0,0,0,0,0,0
C304,Y,included,222,CL14-200498,state,2014,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447589,N/A,3510925,149323,50,243.1136434,830255,59.20734859,Good,222.6996087,753474,49.22010165,Good,43,0,1,0,0,0,0,0,0,0
C305,Y,included,222,CL15-200395,state,2015,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447588,N/A,3507985,87348,66,235.0420924,997663,68.78350336,Good,218.4158462,849872,54.4493182,Good,32,0,1,0,0,0,0,0,0,0
C306,Y,included,222,CL15-200729,state,2015,NC,MI,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447587,N/A,3602299,161554,46,227.2450993,1786423,119.0785696,Good,212.1810714,1546213,96.23448796,Good,43,0,1,0,0,0,0,0,0,0
C307,Y,included,222,CL16-201031,state,2016,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447586,N/A,3579729,169286,49,244.1381588,635638,45.51979515,Good,223.6854384,581727,38.16908208,Good,43,0,1,0,0,0,0,0,0,0
C308,Y,included,222,CL16-201066,state,2016,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447585,N/A,3424634,162800,46,244.3060406,621192,44.51586748,Good,220.1391973,544788,35.17869242,Good,47,0,1,0,0,0,0,0,0,0
C309,Y,included,222,CL16-201124,state,2016,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447583,N/A,3498465,149323,48,240.7849459,928106,65.55135792,Good,218.8033835,825246,52.96539834,Good,45,0,1,0,0,0,0,0,0,0
C310,Y,included,222,CL17-200798,state,2017,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447582,N/A,3587220,161554,53,229.2696648,1455199,97.86418082,Good,212.2027378,1314106,81.79677151,Good,43,0,1,0,0,0,0,0,0,0
C311,Y,included,222,CL18-201286,state,2018,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447581,N/A,3648032,162800,53,243.0091898,710897,50.67388021,Good,223.8151626,651762,42.7891168,Good,42,0,1,0,0,0,0,0,0,0
C312,Y,included,222,CL18-201315,state,2018,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447580,N/A,3483150,117884,60,228.5364696,600610,40.26269623,Good,213.8398431,524236,32.88291046,Good,43,0,1,0,0,0,0,0,0,0
C313,Y,included,222,CL18-201326,state,2018,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447579,N/A,3530413,117754,65,229.6463361,388954,26.20067888,Good,215.9237327,328581,20.81122323,Good,43,0,1,0,0,0,0,0,0,0
C314,Y,included,222,CL18-201902,state,2018,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447578,N/A,3627641,106743,58,225.8879762,860942,57.0455525,Good,213.2740744,762282,47.68793448,Good,22,0,0,0,0,1,0,0,0,0
C315,Y,included,222,CL18-202513,state,2018,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447577,N/A,3595069,148442,65,244.237103,426882,30.58259011,Good,224.4238819,392331,25.82714952,Good,43,0,1,0,0,0,0,0,0,0
C316,Y,included,222,CL19-201432,state,2019,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447576,N/A,3448169,132431,59,238.3312239,563670,39.40584511,Good,220.9426357,444057,28.7788233,Good,43,0,1,0,0,0,0,0,0,0
C317,Y,included,222,CL19-202433,state,2019,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447575,N/A,3446149,135599,57,215.3746368,630480,39.83094901,Good,208.0738442,528288,32.24356239,Good,43,0,1,0,0,0,0,0,0,0
C318,Y,included,222,CL19-202866,state,2019,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447574,N/A,3548918,162865,56,235.8647994,641395,44.37552282,Good,219.8433998,582924,37.59067719,Good,44,0,1,0,0,0,0,0,0,0
C319,Y,included,222,CL19-203028,state,2019,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447572,N/A,3710022,101385,69,233.8306164,728884,49.99361863,Good,218.3333579,650796,41.6792361,Good,23,0,0,0,0,0,0,0,0,0
C320,Y,included,222,CL19-203424,state,2019,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447571,N/A,3549757,135313,59,241.1270636,553636,39.15841107,Good,222.3322856,498857,32.53369454,Good,43,0,1,0,0,0,0,0,0,0
C321,Y,included,222,CL20-200288,state,2020,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447570,N/A,3415368,159009,43,240.6632947,1182402,83.46988114,Good,222.3538016,1020524,66.56141763,Good,43,0,1,0,0,0,0,0,0,0
C322,Y,included,222,HUM-2011028624,state,2011,SW,CO,Clinical,Sporadic,Exclude,region bin less than 14,Exclude,excluded from Region,PRJNA861313,SRR20447569,Y,3410779,125473,60,226.383446,717650,47.65540196,Good,207.9906093,611884,37.33082654,Good,48,0,1,0,0,0,0,0,0,0
C323,Y,included,222,HUM-2017002652,state,2017,SW,CO,Clinical,Sporadic,Exclude,region bin less than 14,Exclude,excluded from Region,PRJNA861313,SRR20447568,Y,3639163,135304,55,228.7287458,616160,41.33986283,Good,211.5436414,572346,35.51513005,Good,43,0,1,0,0,0,0,0,0,0
C324,Y,included,222,HUM-2018012626,state,2018,SW,CO,Clinical,Sporadic,Exclude,region bin less than 14,Exclude,excluded from Region,PRJNA861313,SRR20447567,Y,3486721,103356,64,225.3573979,705852,46.65951824,Good,206.7301791,595862,36.13302757,Good,Sep-36,0,1,0,1,0,0,0,0,0
C325,Y,included,222,IDR1600013428,state,2016,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447534,Y,3558879,162800,49,244.1412215,823600,58.9810137,Good,222.5424587,735809,48.03223097,Good,45,0,1,0,0,0,0,0,0,0
C326,Y,included,222,IDR1600052545-01-00,state,2016,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447533,Y,3560585,135900,48,224.4150115,688381,45.31432973,Good,209.32043,551949,33.88951475,Good,45,0,1,0,0,0,0,0,0,0
C327,Y,included,222,IDR1600052546-01-00,state,2016,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447532,Y,3414031,149905,48,233.6116196,498125,34.13402958,Good,215.3767546,398591,25.18147112,Good,45,0,1,0,0,0,0,0,0,0
C328,Y,included,222,IDR1700002699-01-03,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447531,Y,3516372,162246,45,232.5815191,607526,41.44716722,Good,206.5153819,527795,31.97219536,Good,51,0,1,0,0,0,0,0,0,0
C329,Y,included,222,IDR1700030993,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447529,Y,3484454,149322,51,238.925715,773050,54.17828586,Good,219.1289306,665164,42.75463834,Good,43,0,1,0,0,0,0,0,0,0
C330,Y,included,222,IDR1700035106-01-01,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447528,Y,3484354,128887,53,247.0274812,575012,41.66553471,Good,222.5141048,442651,28.89174523,Good,42,0,1,0,0,0,0,0,0,0
C331,Y,included,222,IDR1700036370-01-00,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447527,Y,3487170,62324,101,241.1298584,963842,68.17287659,Good,218.6027877,812568,52.10389532,Good,17,0,0,0,0,0,0,0,0,0
C332,Y,included,222,IDR1700039007-01-01,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447526,Y,3485022,149323,55,235.5507862,557405,38.51325274,Good,213.4299752,445014,27.86017688,Good,43,0,1,0,0,0,0,0,0,0
C333,Y,included,222,IDR1700039805-01-00,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447525,Y,3459999,149323,50,235.4419562,790429,54.58854322,Good,212.2918066,697791,43.4523609,Good,42,0,1,0,0,0,0,0,0,0
C334,Y,included,222,IDR1700040088-01-00,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447524,Y,3506690,149234,52,242.8905344,728384,51.89503022,Good,217.7498086,641393,40.9672469,Good,48,0,1,0,0,0,0,0,0,0
C335,Y,included,222,IDR1700049176-01-00,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447523,Y,3560076,135313,58,242.5435955,902340,64.19701022,Good,219.5089937,686256,44.1868716,Good,44,0,1,0,0,0,0,0,0,0
C336,Y,included,222,IDR1700050624-01-04,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447522,Y,3514565,117885,58,234.9198801,1044647,71.98534881,Good,216.7246795,884264,56.21407844,Good,28-6,0,2,0,0,0,0,0,0,0
C337,Y,included,222,IDR1700053653-01-01,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447521,Y,3554260,149330,53,238.9737904,955603,66.98577062,Good,212.898053,743053,46.40302182,Good,43-57,0,1,1,0,1,0,0,0,0
C338,Y,included,222,IDR1800006116-01-00,state,2016,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447520,Y,3569727,149323,56,245.2574599,568574,40.90383272,Good,223.6047525,311539,20.4337574,Good,43,0,1,0,0,0,0,0,0,0
C339,Y,included,222,IDR1800041423-01-00,state,2018,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447518,N/A,3465162,75878,82,239.2164872,890944,62.51673632,Good,219.3161145,772701,49.70920287,Good,24,0,1,0,0,0,0,0,0,0
C340,Y,included,222,LP000066,state,2017,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447517,Y,3482588,161490,45,236.3679089,1322958,91.72534446,Good,209.6461183,1097833,67.51152034,Good,43,0,1,0,0,0,0,0,0,0
C341,Y,included,222,LP000082,state,2015,NE,NY,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447516,Y,3506935,103356,70,226.882044,497092,33.08199421,Good,210.8546224,416426,25.75584157,Good,43,0,1,0,0,0,0,0,0,0
C342,Y,included,222,LP000097,state,2015,NE,NY,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447515,Y,3417503,135407,51,240.8639418,800944,56.5885705,Good,220.5172065,712928,46.11507672,Good,43,0,1,0,0,0,0,0,0,0
C343,Y,included,222,LP000109,state,2012,NE,NY,Clinical,Sporadic,Include,None,2011-2015,None,PRJNA861313,SRR20447514,Y,3579473,135313,64,230.5965782,494879,33.47392703,Good,218.126343,439787,28.13878151,Good,45,0,1,0,0,0,0,0,0,0
C344,Y,included,222,LP000122,state,2016,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447513,Y,3425480,149345,54,240.5131945,374967,26.45371901,Good,221.8487275,339414,22.08724128,Good,45,0,1,0,0,0,0,0,0,0
C345,Y,included,222,M2018009114,state,2018,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447512,Y,3588021,161490,48,242.8279278,728694,51.90373475,Good,222.6743552,569679,37.20961661,Good,43-60-32,0,1,1,1,1,0,0,0,0
C346,N,included,213,18SM0001,state,2017,C,IN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447511,Y,3509800,157323,51,234.0142802,846975,58.1390235,Good,214.8982854,804791,50.73069859,Good,49,0,1,0,0,1,0,0,0,0
C347,N,included,213,C2018014653,state,2018,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447510,Y,3496376,159651,50,241.0564226,600345,42.44967665,Good,219.2085463,541242,34.80196401,Good,41,0,1,0,0,0,0,0,0,0
C348,N,included,213,C2019011280,state,2019,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447509,Y,3618567,125195,60,200.2528341,858219,50.41172723,Good,187.8765512,748626,41.25648909,Good,45,0,1,0,0,0,0,0,0,0
C349,N,included,213,CL18-202801,state,2018,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447507,N/A,3495990,149323,51,212.5597492,990901,61.78258524,Good,206.2310516,829819,50.19867016,Good,43,0,1,0,0,0,0,0,0,0
C350,N,included,213,CL19-201942,state,2019,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447506,N/A,3625600,74951,87,189.2362597,1195151,66.34098511,Good,186.5529222,937083,51.27845092,Good,7,0,1,0,0,1,0,0,0,0
C351,N,included,213,CL19-202728,state,2019,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447505,N/A,3618036,124037,66,240.6629393,537470,37.94182585,Good,222.4312167,484202,31.59199834,Good,49,0,1,0,0,1,0,0,0,0
C352,N,included,213,CL19-202732,state,2019,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447504,N/A,3551369,87344,69,239.6497096,785217,55.19775087,Good,221.8891559,728519,47.4167455,Good,11,0,1,0,0,1,0,0,0,0
C353,N,included,213,CL19-203321,state,2019,NC,MI,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447503,N/A,3492669,149323,51,217.6659856,1162863,74.24614368,Good,202.846655,1047057,62.30070431,Good,43,0,1,0,0,0,0,0,0,0
C354,N,included,213,IDR1800030327-01-01,state,2018,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447566,N/A,3535448,162928,50,239.2285708,732504,51.40174085,Good,221.5922473,669575,43.52197282,Good,43,0,1,0,0,0,0,0,0,0
C355,N,included,213,IDR1800039106-01-01,state,2018,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447565,N/A,3652459,103346,70,240.1571197,785853,55.35942405,Good,219.6795051,688844,44.38796173,Good,43,0,1,0,0,0,0,0,0,0
C356,N,included,213,IDR1800047679-01-01,state,2018,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447564,N/A,3509061,122218,59,241.5876733,677327,47.99853042,Good,220.6777316,476280,30.83014998,Good,45,0,1,0,0,1,0,0,0,0
C357,N,included,213,IDR1800048011-01-02,state,2018,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447563,N/A,3566163,147309,57,239.7924407,829657,58.35644823,Good,218.8924048,734345,47.15042549,Good,43,0,1,0,0,1,0,0,0,0
C358,N,included,213,IDR1800052315-01-00,state,2018,NE,NY,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447562,N/A,3505493,106975,74,225.547825,797773,52.78040992,Good,209.6209811,682644,41.97433343,Good,49,0,1,0,0,0,0,0,0,0
C359,N,included,213,M2019001101,state,2019,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447560,Y,3430380,106389,70,232.542439,797651,54.40889661,Good,212.9905967,669871,41.85105289,Good,23,0,1,0,0,0,0,0,0,0
