	C165-O_OH-2013-OC-ST222	C170-S_MI-2016-CS-ST222	C171-O_MI-2010-OC-ST222	C173-S_NY-2009-CS-ST222	C174-O_MD-2009-OC-ST222	C175-S_IN-2009-CS-ST222	C181-S_IL-2006-CS-ST222	C182-S_IL-2006-CS-ST222	C183-S_NY-2009-CS-ST222	C186-S_OH-2009-CS-ST222	C191-S_IL-2011-CS-ST222	C192-S_RI-2012-CS-ST222	C193-S_IL-2012-CS-ST222	C194-S_WI-2012-CS-ST222	C195-S_MI-2016-CS-ST222	C196-S_MI-2016-CS-ST222	C197-S_CO-2011-CS-ST222	C201-S_PA-2013-CS-ST222	C207-S_WI-2013-CS-ST222	C208-S_MA-2013-CS-ST222	C209-S_MA-2013-CS-ST222	C210-S_IL-2013-CS-ST222	C211-S_IL-2014-CS-ST222	C212-S_IN-2016-CS-ST222	C213-S_PA-2016-CS-ST222	C221-S_CT-2001-CS-ST222	C222-S_OH-2001-CS-ST222	C223-S_VT-2002-CS-ST222	C224-S_OH-2002-CS-ST222	C225-S_IL-2003-CS-ST222	C226-S_IL-2004-CS-ST222	C228-S_PA-1998-CS-ST222	C229-S_OH-2000-CS-ST222	C230-S_MO-2018-CS-ST222	C231-S_IN-2018-CS-ST222	C233-S_OH-2018-CS-ST222	C235-S_RI-2019-CS-ST222	C237-O_NJ-2019-OC-ST222	C238-O_OH-2019-OC-ST222	C240-S_IL-2019-CS-ST222	C242-S_OH-2019-CS-ST222	C290-S_CO-2018-CS-ST222	C291-O_OH-2013-OC-ST222	C292-S_IN-2018-CS-ST222	C293-S_MN-2013-CS-ST222	C294-S_MN-2019-CS-ST222	C295-S_MN-2019-CS-ST222	C296-S_MI-2010-CS-ST222	C297-S_MI-2013-CP-ST222	C298-S_MI-2013-CP-ST222	C299-S_MI-2013-CP-ST222	C300-S_MI-2013-CS-ST222	C301-S_MI-2013-CS-ST222	C302-S_MI-2013-CS-ST222	C303-S_MI-2013-CS-ST222	C304-S_MI-2014-CS-ST222	C305-S_MI-2015-CS-ST222	C306-S_MI-2015-CS-ST222	C307-S_MI-2016-CS-ST222	C308-S_MI-2016-CS-ST222	C309-S_MI-2016-CS-ST222	C310-S_MI-2017-CS-ST222	C311-S_MI-2018-CS-ST222	C312-S_MI-2018-CS-ST222	C313-S_MI-2018-CS-ST222	C314-S_MI-2018-CS-ST222	C315-S_MI-2018-CS-ST222	C316-S_MI-2019-CS-ST222	C317-S_MI-2019-CS-ST222	C318-S_MI-2019-CS-ST222	C319-S_MI-2019-CS-ST222	C320-S_MI-2019-CS-ST222	C321-S_MI-2020-CS-ST222	C322-S_CO-2011-CS-ST222	C323-S_CO-2017-CS-ST222	C324-S_CO-2018-CS-ST222	C325-S_NY-2016-CS-ST222	C326-S_NY-2016-CS-ST222	C327-S_NY-2016-CS-ST222	C328-S_NY-2017-CS-ST222	C329-S_NY-2017-CS-ST222	C330-S_NY-2017-CS-ST222	C331-S_NY-2017-CS-ST222	C332-S_NY-2017-CS-ST222	C333-S_NY-2017-CS-ST222	C334-S_NY-2017-CS-ST222	C335-S_NY-2017-CS-ST222	C336-S_NY-2017-CS-ST222	C337-S_NY-2017-CS-ST222	C338-S_NY-2016-CS-ST222	C339-S_NY-2018-CS-ST222	C340-S_NY-2017-CS-ST222	C341-S_NY-2015-CS-ST222	C342-S_NY-2015-CS-ST222	C343-S_NY-2012-CS-ST222	C344-S_NY-2016-CS-ST222	C345-S_MN-2018-CS-ST222	E155-O_OH-2013-OE-ST222	E156-O_OH-2013-OE-ST222	E157-O_OH-2013-OE-ST222	E159-O_OH-2013-OE-ST222	E160-O_OH-2013-OE-ST222	E161-O_MI-2010-OE-ST222	E162-O_MI-2010-OE-ST222	E163-O_MI-2010-OE-ST222	E164-O_MI-2010-OE-ST222	E165-O_VT-2002-OE-ST222	E166-O_VT-2002-OE-ST222	E167-O_MD-2009-OE-ST222	E168-O_MD-2009-OE-ST222	E169-O_MD-2009-OE-ST222	E170-O_MD-2009-OE-ST222	E171-O_MD-2009-OE-ST222	E172-O_PA-2009-OE-ST222	E174-O_OH-2013-OE-ST222	U1-U_MA-UNK-UNK-STUNK	U4-U_MA-UNK-UNK-STUNK	U5-U_MA-UNK-UNK-STUNK	U6-U_MA-UNK-UNK-STUNK	U9-U_MI-2016-UNK-ST222
C225-S_IL-2003-CS-ST222	99.8941	99.8641	99.9052	99.9537	99.9652	99.872	99.887	99.9064	99.921	99.8636	99.9657	99.8428	99.9005	99.8559	99.8784	99.6194	99.8656	99.8568	99.8889	99.8617	99.8667	99.7967	99.8859	99.8353	99.7684	99.8375	99.8438	99.8413	99.907	100	99.8426	99.8444	99.9708	99.8474	99.8401	99.8594	99.8638	99.9183	99.8581	99.783	99.9034	99.8963	99.9145	99.8446	99.8446	99.748	99.9468	99.9464	99.9071	99.9026	99.8654	99.8393	99.8332	99.9247	99.9472	99.8984	99.918	99.8289	99.9035	99.9568	99.9335	99.6311	99.7392	99.9047	99.7584	99.8583	99.9045	99.9275	99.9259	99.9328	99.89	99.9031	99.8406	99.8421	99.8166	99.8678	99.8642	99.8169	99.9885	99.9134	99.8666	99.9046	99.9131	99.9055	99.8692	99.945	99.9183	99.8501	99.904	99.8723	99.9091	99.8672	99.846	99.9519	99.8659	99.8676	99.9212	99.8828	99.8827	99.92	99.8832	99.919	99.8655	99.8651	99.9028	99.9022	99.8415	99.8421	99.9927	99.994	99.9945	99.9921	99.9906	99.9904	99.8837	99.8688	99.8639	99.8387	99.8132	99.7208
C226-S_IL-2004-CS-ST222	99.9398	99.9444	99.9486	99.9821	99.9709	99.8649	99.9428	99.8911	99.9298	99.9263	99.9821	99.9941	99.9126	99.9353	99.9351	99.805	99.9683	99.9351	99.9039	99.9335	99.9686	99.9208	99.9307	99.8646	99.9136	99.9666	99.9942	99.9928	99.9485	99.8426	100	99.994	99.9232	99.891	99.8807	99.9373	99.9902	99.9359	99.9104	99.8639	99.9166	99.91	99.9354	99.8829	99.8875	99.944	99.8938	99.9454	99.8709	99.8674	99.9474	99.895	99.9156	99.9429	99.951	99.9068	99.899	99.9064	99.9477	99.9627	99.8908	99.8508	99.9158	99.948	99.9427	99.9103	99.9464	99.9779	99.9776	99.9161	99.9458	99.9156	99.9047	99.9912	99.9936	99.9212	99.9647	99.967	99.9631	99.8878	99.9472	99.9205	99.9476	99.9501	99.9121	99.9197	99.9111	99.9733	99.9469	99.9465	99.936	99.9464	99.9946	99.9807	99.9648	99.9693	99.9001	99.9106	99.9123	99.909	99.9115	99.9077	99.9469	99.9477	99.945	99.9463	99.9928	99.9918	99.9681	99.969	99.9669	99.9655	99.9657	99.9624	99.9288	99.9655	99.989	99.9873	99.9921	99.9382
C228-S_PA-1998-CS-ST222	99.9399	99.9473	99.9493	99.9821	99.9716	99.8664	99.943	99.8951	99.935	99.9088	99.9816	99.9985	99.9521	99.9356	99.9358	99.8061	99.9698	99.9358	99.9049	99.9342	99.9699	99.9194	99.9302	99.8625	99.9004	99.9597	99.9942	99.9955	99.9515	99.8444	99.994	100	99.9229	99.8917	99.8767	99.9379	99.9903	99.9135	99.9122	99.8649	99.9143	99.8904	99.9343	99.8821	99.8866	99.9014	99.8941	99.9417	99.8487	99.8443	99.9475	99.8664	99.9128	99.9431	99.9212	99.9002	99.8924	99.915	99.9476	99.9641	99.8876	99.8487	99.917	99.9461	99.9397	99.8861	99.9481	99.9736	99.9735	99.8834	99.9315	99.9094	99.9064	99.9808	99.9582	99.9197	99.9378	99.945	99.965	99.8671	99.9446	99.917	99.9495	99.9486	99.9096	99.8923	99.9098	99.9769	99.9435	99.9419	99.9385	99.9471	99.9968	99.9815	99.9396	99.9696	99.8975	99.9123	99.9119	99.9083	99.9116	99.9116	99.9471	99.9447	99.9467	99.9437	99.9926	99.9953	99.971	99.974	99.972	99.9715	99.9681	99.9688	99.9326	99.961	99.9689	99.9806	99.992	99.9146
C229-S_OH-2000-CS-ST222	99.8595	99.9453	99.9439	99.9435	99.9695	99.8547	99.8803	99.8983	99.9349	99.8531	99.9829	99.9248	99.9174	99.8558	99.8897	99.6966	99.8975	99.8573	99.8806	99.9043	99.8985	99.8533	99.9223	99.7887	99.8031	99.897	99.8791	99.9199	99.949	99.9708	99.9232	99.9229	100	99.8822	99.8688	99.8531	99.9199	99.9295	99.8669	99.8226	99.8649	99.8354	99.8567	99.875	99.8777	99.8142	99.9136	99.9433	99.9331	99.9303	99.9418	99.8972	99.909	99.9373	99.9509	99.9728	99.966	99.9103	99.9412	99.9107	99.9575	99.6821	99.8065	99.9406	99.7747	99.918	99.9423	99.9755	99.9718	99.9061	99.9407	99.9034	99.9028	99.9147	99.9195	99.8442	99.8673	99.8955	99.9422	99.8828	99.9409	99.914	99.9441	99.921	99.8397	99.9127	99.88	99.9025	99.9155	99.9372	99.9336	99.9203	99.9229	99.9456	99.8617	99.8944	99.9176	99.8283	99.8279	99.8257	99.8284	99.8232	99.9381	99.9401	99.9398	99.9397	99.9195	99.9176	99.967	99.97	99.9683	99.9643	99.965	99.9637	99.847	99.8176	99.916	99.8949	99.9192	99.7744
C230-S_MO-2018-CS-ST222	99.9472	99.9197	99.926	99.9294	99.9185	99.9714	99.9412	99.8527	99.9187	99.9243	99.9304	99.8904	99.9328	99.9449	99.9331	99.7438	99.8661	99.9476	99.9133	99.9103	99.8627	99.8329	99.9477	99.9701	99.834	99.8554	99.8788	99.8885	99.9402	99.8474	99.891	99.8917	99.8822	100	99.9888	99.9492	99.877	99.9254	99.9083	99.9762	99.917	99.8867	99.9401	99.9896	99.9927	99.8571	99.9092	99.8961	99.8761	99.8703	99.9228	99.8989	99.8912	99.9204	99.8715	99.9112	99.9025	99.9249	99.9249	99.8948	99.8985	99.7905	99.8534	99.9232	99.8869	99.9176	99.9256	99.9294	99.9282	99.8922	99.926	99.9204	99.8798	99.8778	99.8546	99.9174	99.8554	99.8506	99.9076	99.8081	99.9221	99.8962	99.926	99.9307	99.9133	99.8504	99.8961	99.8653	99.9281	99.9215	99.93	99.9314	99.8907	99.9284	99.8638	99.8622	99.9158	99.9209	99.9219	99.918	99.9218	99.919	99.9222	99.922	99.9233	99.9236	99.8859	99.8862	99.9181	99.9191	99.9182	99.9175	99.9177	99.9147	99.9361	99.8572	99.8609	99.8829	99.8761	99.8554
C231-S_IN-2018-CS-ST222	99.933	99.9164	99.9182	99.9176	99.9142	99.971	99.9082	99.8457	99.916	99.9155	99.9194	99.8742	99.9012	99.9369	99.9239	99.7324	99.8631	99.9396	99.8843	99.9011	99.8603	99.8438	99.9123	99.9669	99.8245	99.7857	99.8689	99.8795	99.9299	99.8401	99.8807	99.8767	99.8688	99.9888	100	99.9195	99.865	99.9232	99.905	99.9481	99.9183	99.906	99.9387	99.9969	99.968	99.8558	99.9037	99.898	99.8788	99.8767	99.8945	99.8962	99.8602	99.9217	99.8738	99.8823	99.8972	99.8958	99.8924	99.8928	99.8949	99.7555	99.7733	99.8944	99.8522	99.905	99.8296	99.9007	99.8998	99.894	99.9203	99.892	99.8521	99.8794	99.7996	99.9166	99.7828	99.8467	99.9052	99.8138	99.8913	99.9171	99.9215	99.9038	99.9103	99.8705	99.895	99.8292	99.8834	99.8926	99.9229	99.9008	99.8536	99.8952	99.7898	99.8589	99.9061	99.9168	99.918	99.9123	99.9167	99.9148	99.8922	99.8925	99.8948	99.8928	99.8552	99.8543	99.9164	99.9158	99.9151	99.9149	99.916	99.9133	99.9359	99.7852	99.8588	99.7845	99.8422	99.8696
C233-S_OH-2018-CS-ST222	99.9968	99.8979	99.8952	99.933	99.9708	99.9233	99.9492	99.8711	99.9643	99.8826	99.9833	99.9375	99.9461	99.9963	99.9007	99.786	99.9079	99.9976	99.8968	99.9501	99.9108	99.8806	99.9853	99.8728	99.8143	99.9009	99.8444	99.929	99.9205	99.8594	99.9373	99.9379	99.8531	99.9492	99.9195	100	99.9243	99.9876	99.8738	99.9003	99.9121	99.9204	99.9923	99.943	99.9425	99.8418	99.9045	99.9378	99.9094	99.9065	99.8946	99.8676	99.8646	99.8912	99.9474	99.9478	99.9415	99.8944	99.8954	99.8575	99.9329	99.7907	99.8917	99.9638	99.8846	99.8901	99.8949	99.9703	99.9706	99.966	99.8964	99.9702	99.9239	99.9245	99.8296	99.9381	99.7982	99.8882	99.8608	99.853	99.9645	99.9346	99.9655	99.8816	99.8988	99.8925	99.8392	99.8993	99.8687	99.8909	99.9595	99.881	99.933	99.9294	99.8732	99.9063	99.9146	99.9672	99.966	99.961	99.9673	99.9624	99.8964	99.894	99.892	99.8954	99.9329	99.9351	99.9636	99.9658	99.9685	99.9683	99.9639	99.9658	99.9847	99.9048	99.9316	99.832	99.9211	99.8739
C235-S_RI-2019-CS-ST222	99.9281	99.9369	99.9401	99.9756	99.987	99.8726	99.9302	99.9197	99.936	99.8982	99.9914	99.9945	99.8783	99.9247	99.9261	99.7926	99.9857	99.9289	99.9006	99.9302	99.9858	99.9422	99.9214	99.8752	99.8845	99.9768	99.9917	99.9887	99.9392	99.8638	99.9902	99.9903	99.9199	99.877	99.865	99.9243	100	99.9263	99.9235	99.8521	99.9295	99.9203	99.9297	99.8735	99.8771	99.9151	99.9006	99.9131	99.8806	99.8786	99.9371	99.8886	99.8968	99.9276	99.9375	99.8955	99.9046	99.885	99.933	99.9815	99.8986	99.8332	99.9286	99.9376	99.93	99.8928	99.9376	99.9257	99.9214	99.9027	99.9187	99.9023	99.8423	99.9886	99.95	99.9147	99.9566	99.959	99.9828	99.8782	99.9309	99.927	99.9418	99.9337	99.9184	99.9088	99.9207	99.9911	99.9327	99.9271	99.9287	99.9342	99.988	99.9772	99.9472	99.9835	99.904	99.9249	99.9227	99.9143	99.9222	99.9226	99.9383	99.927	99.9327	99.9344	99.9873	99.9915	99.9858	99.9907	99.9853	99.9903	99.9816	99.9873	99.9236	99.9742	99.9835	99.9735	99.9835	99.9246
C237-O_NJ-2019-OC-ST222	99.9595	99.9508	99.978	99.9499	99.9612	99.9502	99.9804	99.9012	99.9531	99.8906	99.9632	99.9382	99.9678	99.9625	99.9524	99.7632	99.9372	99.99	99.9413	99.9548	99.9327	99.8768	99.9436	99.9487	99.8341	99.8876	99.9277	99.9098	99.9902	99.9183	99.9359	99.9135	99.9295	99.9254	99.9232	99.9876	99.9263	100	99.9729	99.9194	99.9872	99.9576	99.9806	99.9186	99.9472	99.9056	99.9769	99.9551	99.9272	99.9256	99.9774	99.9485	99.9442	99.9741	99.9439	99.958	99.9501	99.979	99.9779	99.9419	99.9664	99.8115	99.9092	99.9712	99.9224	99.9641	99.9778	99.9635	99.9621	99.9612	99.9654	99.9587	99.9155	99.9114	99.8447	99.9689	99.8739	99.838	99.9539	99.8632	99.9706	99.9679	99.9743	99.9804	99.9309	99.9075	99.9449	99.9115	99.9721	99.9193	99.9685	99.9765	99.9378	99.9744	99.8689	99.9067	99.95	99.9581	99.9576	99.9536	99.9575	99.9519	99.9752	99.9755	99.9762	99.9748	99.933	99.9311	99.9619	99.9612	99.9606	99.9561	99.9594	99.9571	99.9796	99.914	99.9372	99.922	99.8991	99.894
C238-O_OH-2019-OC-ST222	99.8798	99.9101	99.9086	99.9261	99.9602	99.9049	99.9161	99.8546	99.9633	99.898	99.9593	99.9111	99.9357	99.8733	99.984	99.7607	99.9074	99.8728	99.8895	99.912	99.9104	99.8695	99.9577	99.836	99.8321	99.9017	99.8979	99.9078	99.924	99.8581	99.9104	99.9122	99.8669	99.9083	99.905	99.8738	99.9235	99.9729	100	99.8504	99.9137	99.8609	99.9045	99.8988	99.9022	99.8557	99.8713	99.9368	99.9319	99.9277	99.9052	99.9	99.8697	99.9013	99.9394	99.9247	99.9567	99.9034	99.902	99.9201	99.9572	99.7455	99.8799	99.9336	99.833	99.9233	99.9046	99.945	99.944	99.8485	99.9293	99.8529	99.8971	99.9215	99.8426	99.877	99.8892	99.887	99.9444	99.8529	99.9342	99.9329	99.9623	99.9159	99.8606	99.8827	99.8947	99.9192	99.9064	99.8997	99.9431	99.9145	99.9087	99.9239	99.8913	99.9317	99.852	99.9036	99.9037	99.8979	99.9027	99.9013	99.9054	99.9041	99.9063	99.9032	99.9063	99.9054	99.9846	99.9876	99.9858	99.985	99.9831	99.981	99.9035	99.8392	99.9041	99.8694	99.8945	99.8356
C240-S_IL-2019-CS-ST222	99.9002	99.8735	99.8745	99.883	99.8972	99.9523	99.9051	99.8335	99.8894	99.8406	99.9094	99.8637	99.9109	99.8989	99.8792	99.7114	99.8393	99.9015	99.8126	99.8894	99.8371	99.8122	99.8692	99.9313	99.7801	99.8136	99.8153	99.8592	99.8883	99.783	99.8639	99.8649	99.8226	99.9762	99.9481	99.9003	99.8521	99.9194	99.8504	100	99.8729	99.8692	99.8993	99.9692	99.9687	99.8097	99.8685	99.8722	99.8412	99.8347	99.8739	99.8469	99.8393	99.8692	99.8742	99.8731	99.8712	99.8753	99.8739	99.8426	99.861	99.6862	99.8199	99.8883	99.8398	99.8694	99.8746	99.9062	99.9046	99.8552	99.875	99.8595	99.854	99.8599	99.7734	99.8838	99.7718	99.8081	99.8305	99.8098	99.8881	99.8624	99.8942	99.8548	99.8659	99.8529	99.7617	99.8318	99.8467	99.8543	99.8995	99.8556	99.8649	99.8785	99.8448	99.8352	99.8751	99.8679	99.8722	99.8646	99.8713	99.8695	99.8696	99.8737	99.8724	99.8695	99.8609	99.8607	99.8963	99.8957	99.8971	99.8927	99.8909	99.8938	99.8915	99.8003	99.8574	99.8035	99.8349	99.8316
C242-S_OH-2019-CS-ST222	99.9118	99.9123	99.9151	99.8896	99.9548	99.9421	99.9264	99.863	99.9582	99.8675	99.9575	99.9169	99.9637	99.9124	99.9387	99.7774	99.9429	99.9126	99.9125	99.9325	99.9394	99.8823	99.9611	99.8907	99.8284	99.917	99.875	99.9128	99.9214	99.9034	99.9166	99.9143	99.8649	99.917	99.9183	99.9121	99.9295	99.9872	99.9137	99.8729	100	99.9151	99.9311	99.9166	99.9155	99.8984	99.9205	99.9648	99.9338	99.9315	99.9148	99.9106	99.8819	99.9356	99.9394	99.9462	99.9606	99.9155	99.8675	99.912	99.9819	99.7687	99.8983	99.9635	99.852	99.9294	99.9135	99.9461	99.9453	99.9274	99.9384	99.9023	99.8987	99.9171	99.8469	99.9266	99.8693	99.8928	99.9382	99.8666	99.9612	99.9602	99.9914	99.9218	99.8794	99.8967	99.9453	99.9234	99.92	99.895	99.9712	99.9211	99.9167	99.8902	99.9101	99.9144	99.8948	99.9108	99.9113	99.909	99.9103	99.9067	99.9115	99.9128	99.9132	99.9126	99.912	99.9108	99.9567	99.9573	99.9566	99.9529	99.9543	99.9544	99.9316	99.8886	99.9368	99.8699	99.8844	99.8462
C290-S_CO-2018-CS-ST222	99.9175	99.8559	99.8746	99.8794	99.9401	99.8832	99.9081	99.8971	99.9642	99.8899	99.9755	99.91	99.9392	99.8989	99.8566	99.7511	99.8843	99.9258	99.8762	99.9069	99.886	99.8891	99.9716	99.8567	99.7796	99.8749	99.8136	99.8854	99.9003	99.8963	99.91	99.8904	99.8354	99.8867	99.906	99.9204	99.9203	99.9576	99.8609	99.8692	99.9151	100	99.959	99.9082	99.8787	99.8247	99.8689	99.9219	99.9107	99.908	99.8447	99.8482	99.8166	99.8562	99.8958	99.9031	99.9411	99.8517	99.8512	99.8278	99.9131	99.7536	99.9054	99.9137	99.8536	99.8877	99.855	99.9334	99.9338	99.8894	99.8861	99.8886	99.8843	99.9014	99.7949	99.9898	99.8184	99.8757	99.8733	99.8173	99.9144	99.9169	99.9593	99.8871	99.9099	99.8818	99.8612	99.9153	99.8581	99.8458	99.9428	99.887	99.8911	99.8788	99.8702	99.8826	99.8949	99.9121	99.9126	99.9112	99.9135	99.9124	99.8479	99.8454	99.8494	99.8511	99.8841	99.8875	99.9414	99.9435	99.9427	99.9395	99.9377	99.9338	99.9531	99.8628	99.8784	99.8263	99.8723	99.8523
C291-O_OH-2013-OC-ST222	99.9929	99.9063	99.9095	99.9204	99.9863	99.9385	99.9514	99.8956	99.9733	99.8738	99.9855	99.9379	99.9492	99.9882	99.909	99.7928	99.9338	99.9915	99.8928	99.9515	99.9328	99.9089	99.9902	99.8905	99.8043	99.9235	99.8576	99.9292	99.9147	99.9145	99.9354	99.9343	99.8567	99.9401	99.9387	99.9923	99.9297	99.9806	99.9045	99.8993	99.9311	99.959	100	99.9355	99.9388	99.8467	99.9334	99.9579	99.9676	99.9656	99.9064	99.9038	99.8748	99.9	99.9333	99.9632	99.9654	99.9088	99.9075	99.8837	99.976	99.8041	99.9349	99.9816	99.8981	99.9078	99.9077	99.9719	99.9697	99.9727	99.9063	99.9813	99.9233	99.9277	99.8483	99.9555	99.8275	99.9275	99.8747	99.8626	99.9809	99.9784	99.9845	99.8839	99.9199	99.8911	99.8719	99.9267	99.8798	99.9032	99.9827	99.8861	99.9344	99.9228	99.9044	99.9341	99.93	99.9909	99.9908	99.9896	99.99	99.9907	99.9077	99.9041	99.9061	99.9055	99.9327	99.935	99.9867	99.9886	99.9876	99.9878	99.983	99.9848	99.9929	99.9444	99.9262	99.8285	99.9202	99.886
C292-S_IN-2018-CS-ST222	99.9353	99.9154	99.9202	99.9199	99.9167	99.9729	99.9155	99.8473	99.9191	99.9183	99.9216	99.8807	99.904	99.9407	99.9279	99.7371	99.867	99.9417	99.8862	99.9038	99.8626	99.8466	99.9152	99.9679	99.8302	99.7924	99.8722	99.8822	99.9334	99.8446	99.8829	99.8821	99.875	99.9896	99.9969	99.943	99.8735	99.9186	99.8988	99.9692	99.9166	99.9082	99.9355	100	99.9878	99.8532	99.9007	99.89	99.8806	99.8787	99.9169	99.9161	99.8834	99.9207	99.8684	99.9041	99.8993	99.9197	99.9143	99.9057	99.9141	99.78	99.77	99.9167	99.8761	99.9077	99.8546	99.9214	99.9221	99.8889	99.9233	99.9154	99.8735	99.8592	99.8231	99.9183	99.8053	99.844	99.9015	99.8132	99.9115	99.9138	99.9209	99.9277	99.9106	99.8651	99.8919	99.8471	99.9114	99.9157	99.926	99.9261	99.879	99.9173	99.8118	99.8807	99.9042	99.9353	99.9372	99.9314	99.9363	99.9377	99.9189	99.9163	99.9186	99.9179	99.8815	99.8816	99.9372	99.9375	99.9373	99.9375	99.9357	99.9361	99.9412	99.8097	99.8572	99.8129	99.8659	99.8403
C293-S_MN-2013-CS-ST222	99.9462	99.9191	99.9264	99.9285	99.9186	99.9714	99.9338	99.8462	99.9186	99.9235	99.929	99.8869	99.9331	99.9445	99.9313	99.7439	99.8664	99.9482	99.9132	99.91	99.8625	99.8321	99.9465	99.9694	99.833	99.8534	99.8783	99.8887	99.9397	99.8446	99.8875	99.8866	99.8777	99.9927	99.968	99.9425	99.8771	99.9472	99.9022	99.9687	99.9155	99.8787	99.9388	99.9878	100	99.8824	99.9091	99.8978	99.8753	99.8699	99.9235	99.898	99.8896	99.9198	99.8988	99.9127	99.9014	99.9267	99.9247	99.8935	99.8966	99.7911	99.8584	99.9227	99.8833	99.9174	99.9234	99.9297	99.9279	99.9183	99.927	99.9224	99.8824	99.8872	99.8531	99.9196	99.8515	99.8492	99.9087	99.8277	99.9202	99.8962	99.9265	99.9305	99.9145	99.8765	99.8943	99.8646	99.9249	99.9201	99.9321	99.932	99.8891	99.9278	99.8611	99.8603	99.9177	99.9176	99.9185	99.9136	99.918	99.9166	99.9254	99.9216	99.9235	99.9221	99.8876	99.8885	99.917	99.9163	99.9161	99.9175	99.9158	99.9169	99.9366	99.851	99.8851	99.8807	99.8733	99.8784
C294-S_MN-2019-CS-ST222	99.828	99.8848	99.9112	99.8818	99.9234	99.8802	99.8962	99.7824	99.9226	99.8982	99.9275	99.9285	99.893	99.8173	99.8547	99.8345	99.9439	99.8449	99.8769	99.8803	99.9254	99.9637	99.8985	99.8192	99.9442	99.9343	99.9076	99.9147	99.9269	99.748	99.944	99.9014	99.8142	99.8571	99.8558	99.8418	99.9151	99.9056	99.8557	99.8097	99.8984	99.8247	99.8467	99.8532	99.8824	100	99.8222	99.9142	99.8287	99.8238	99.9014	99.8587	99.8772	99.9041	99.9904	99.86	99.8506	99.8488	99.9085	99.8779	99.8457	99.8437	99.9766	99.9259	99.9453	99.8779	99.9101	99.9226	99.9211	99.7898	99.8945	99.7896	99.8515	99.9143	99.8976	99.8521	99.8541	99.8945	99.9083	99.7341	99.9249	99.9212	99.9294	99.9047	99.8108	99.7609	99.8877	99.9219	99.8912	99.9039	99.9229	99.9051	99.9271	99.9084	99.8815	99.9118	99.7946	99.824	99.8246	99.8227	99.824	99.8232	99.9082	99.9069	99.9082	99.9072	99.9399	99.9415	99.9223	99.9251	99.9242	99.9224	99.921	99.9197	99.844	99.8362	99.9205	99.899	99.9309	99.9155
C295-S_MN-2019-CS-ST222	99.9177	99.8986	99.9038	99.886	99.9649	99.9355	99.942	99.8926	99.958	99.9061	99.9655	99.8936	99.9726	99.9104	99.8831	99.7102	99.9183	99.9118	99.8936	99.9213	99.917	99.8508	99.9469	99.9039	99.7556	99.849	99.8131	99.8931	99.9089	99.9468	99.8938	99.8941	99.9136	99.9092	99.9037	99.9045	99.9006	99.9769	99.8713	99.8685	99.9205	99.8689	99.9334	99.9007	99.9091	99.8222	100	99.9551	99.9197	99.9197	99.9017	99.8737	99.8687	99.9006	99.9502	99.9396	99.9608	99.8323	99.8895	99.8885	99.9488	99.7285	99.7521	99.9623	99.7968	99.8968	99.8406	99.9384	99.9396	99.9354	99.928	99.9123	99.8707	99.8959	99.809	99.9079	99.7744	99.8883	99.91	99.8781	99.9605	99.9823	99.9896	99.9082	99.9025	99.909	99.9297	99.8758	99.905	99.8978	99.97	99.9119	99.8919	99.8846	99.8084	99.8917	99.9411	99.9169	99.9169	99.9129	99.9158	99.9162	99.9039	99.9	99.9039	99.9026	99.8944	99.8943	99.965	99.9657	99.9673	99.9657	99.9663	99.9665	99.9353	99.7892	99.9185	99.778	99.8804	99.8356
C296-S_MI-2010-CS-ST222	99.9429	99.9307	99.9366	99.9442	99.9563	99.9201	99.9679	99.9242	99.9348	99.9205	99.9592	99.9447	99.9329	99.9399	99.962	99.7531	99.9677	99.9439	99.9381	99.9192	99.9691	99.9112	99.9418	99.9205	99.8618	99.9607	99.9422	99.9417	99.942	99.9464	99.9454	99.9417	99.9433	99.8961	99.898	99.9378	99.9131	99.9551	99.9368	99.8722	99.9648	99.9219	99.9579	99.89	99.8978	99.9142	99.9551	100	99.9141	99.9095	99.9376	99.9298	99.8999	99.9574	99.9417	99.9255	99.9409	99.9321	99.9354	99.9464	99.9612	99.7984	99.8738	99.9339	99.8919	99.9506	99.9355	99.959	99.9592	99.9594	99.9603	99.936	99.9564	99.9427	99.9363	99.9609	99.9412	99.9342	99.9795	99.9371	99.9348	99.9309	99.9641	99.9398	99.9111	99.9641	99.96	99.9483	99.9358	99.9308	99.9411	99.9399	99.9473	99.9446	99.9617	99.9431	99.9314	99.9409	99.9405	99.9376	99.9382	99.9393	99.9336	99.9352	99.9366	99.9324	99.9432	99.9433	99.9602	99.9609	99.9594	99.9576	99.9571	99.9548	99.96	99.9666	99.9646	99.9386	99.9336	99.8892
